UF,MUNICIPIO,NO_FANTASIA,CO_CNES,notificacoes
SP,SAO PAULO,HOSPITAL MUNICIPAL BELA VISTA,102075,245
PI,TERESINA,HOSPITAL UNIVERSITARIO DA UNIVERSIDADE FEDERAL DO PIAUI,3285391,244
SP,PORTO FELIZ,SANTA CASA DE PORTO FELIZ,2079925,244
SP,SAO PAULO,UNIDADE DE TRATAMENTO DE COVID 19 HD CAPELA DO SOCORRO,7992890,244
PA,ANANINDEUA,DIRETORIA DE VIGILANCIA EMSAUDE DVES,2615673,242
PE,RECIFE,HOSPITAL OTAVIO DE FREITAS,426,242
SP,SAO PAULO,UPA III 26 DE AGOSTO,9051422,242
RJ,CAMPOS DOS GOYTACAZES,SOCIEDADE PORTUGUESA DE BENEFICENCIA DE CAMPOS,2287250,241
DF,BRASILIA,HOSPITAL DE BASE DO DISTRITO FEDERAL,10456,240
PE,CABO DE SANTO AGOSTINHO,HOSPITAL DOM HELDER CAMARA,6559379,239
PE,CARUARU,HOSPITAL MESTRE VITALINO,7498810,239
PE,PALMARES,HOSPITAL REGIONAL DE PALMARES DR SILVIO MAGALHAES,2428393,239
RJ,RIO DE JANEIRO,HOSPITAL NAVAL MARCILIO DIAS,5158044,239
MG,BELO HORIZONTE,HOSPITAL EDUARDO DE MENEZES,2181770,238
SP,JAU,SANTA CASA DE JAU,2791722,238
SP,SAO PAULO,HOSPITAL KATIA DE SOUZA RODRIGUES TAIPASSP SAO PAULO,2082225,238
SP,SANTO ANDRE,HOSPITAL E MATERNIDADE BRASIL,2789590,237
PA,BELEM,HOSPITAL ABELARDO SANTOS,2695251,236
PI,TERESINA,UNIDADE DE PRONTO ATENDIMENTO 24 HORAS UPA PROMORAR,2679663,236
PE,RECIFE,HOSPITAL ESPERANCA S A,2355906,235
RJ,PETROPOLIS,HOSPITAL SANTA TERESA,2275635,234
SP,HORTOLANDIA,UPA NOVA HORTOLANDIA MANOEL GEORGINO LOPES,7134665,234
PR,CASCAVEL,UPA BRASILIA,3293262,233
PI,TERESINA,UNIDADE DE SAUDE SATELITE,2679639,231
RJ,RIO DE JANEIRO,HOSPITAL OESTE DOR,7659415,231
RS,PORTO ALEGRE,ASSOCIACAO HOSPITALAR VILA NOVA,2693801,231
SP,SERTAOZINHO,HOSPITAL E MATERNIDADE SAO JOSE SERTAOZINHO,2084171,231
SP,LIMEIRA,SOCIEDADE OPERARIA HUMANITARIA LIMEIRA,2087103,230
AM,MANACAPURU,HOSPITAL GERAL DE MANACAPURU,2013258,228
SP,SANTOS,CASA DE SAUDE SANTOS,3008398,228
PE,RECIFE,PRONTO ATENDIMENTO CAXANGA,9643486,227
TO,ARAGUAINA,HOSPITAL DOM ORIONE DE ARAGUAINA,2755165,227
MT,CUIABA,HOSPITAL E MATERNIDADE SAO MATEUS,3953238,226
SP,SAO PAULO,HOSPITAL SANTA PAULA,2089580,226
SP,PARIQUERA-ACU,HOSPITAL DR LEOPOLDO BEVILACQUA,2077434,225
SP,SAO JOSE DOS CAMPOS,HOSPITAL VIVALLE,6988938,225
PR,CURITIBA,HOSPITAL SANTA CRUZ,3000869,224
RJ,RIO DE JANEIRO,MS INCA HOSPITAL DO CANCER I,2273454,224
SP,SAO JOSE DO RIO PRETO,UPA JAGUARE,6270131,224
AM,MANAUS,HOSPITAL DE COMBATE AO COVID 19,119326,223
GO,GOIANIA,HOSPITAL DE URGENCIAS GOV OTAVIO LAGE DE SIQUEIRA HUGOL,7743068,223
MG,BELO HORIZONTE,UNIDADE DE PRONTO ATENDIMENTO LESTE,27618,223
SC,BALNEARIO CAMBORIU,HOSPITAL MUNICIPAL RUTH CARDOSO,6854729,222
SP,ARARAS,HOSPITAL SAO LUIZ DE ARARAS,2081253,222
SP,CAMPINAS,UNIDADE DE PRONTO ATENDIMENTO DR SERGIO AROUCA CAMPO GRANDE,5874998,222
SP,GUARULHOS,HOSPITAL E MATERNIDADE GUARULHOS,9255826,222
SP,SAO PAULO,HOSPITAL SANTA VIRGINIA,2078457,222
RJ,RIO DE JANEIRO,SMS COORD DE EMERGENCIA REGIONAL CER CENTRO AP 10,6716911,221
SE,NOSSA SENHORA DO SOCORRO,HOSPITAL REGIONAL JOSE FRANCO SOBRINHO,5129753,221
SP,SAO PAULO,A C CAMARGO CANCER CENTER,2077531,221
CE,FORTALEZA,HOSPITAL SAO MATEUS,3012778,220
SE,ITABAIANA,HOSPITAL DR PEDRO GARCIA MORENO,2477661,220
SP,OSASCO,HOSPITAL DE CAMPANHA COVID 19 OSASCO,105597,220
RJ,CABO FRIO,HOSPITAL SANTA IZABEL,2278286,219
RJ,RIO DE JANEIRO,SMS COORD DE EMERGENCIA REGIONAL CER LEBLON AP 21,6716849,219
AL,ARAPIRACA,HOSPITAL REGIONAL DE ARAPIRACA,2005050,218
RJ,RIO DE JANEIRO,HOSPITAL COPA STAR,9065946,218
SP,CAMPINAS,CASA DE SAUDE,2081946,218
BA,SALVADOR,CARDIO PULMONAR DA BAHIA,3814378,217
CE,FORTALEZA,HOSPITAL SAO CARLOS,3189546,217
SP,SAO PAULO,PS MUN DR CAETANO VIRGILIO NETTO,2027100,217
SP,SAO PAULO,UPA TITO LOPES,9736700,217
CE,FORTALEZA,UNIDADE PRONTO ATENDIMENTO CRISTO REDENTOR,7434308,216
SC,CRICIUMA,HOSPITAL SAO JOSE,2758164,216
MG,BELO HORIZONTE,HOSPITAL JULIA KUBITSCHEK,27022,215
MT,TANGARA DA SERRA,VIGILANCIA EPIDEMIOLOGICA DE TANGARA DA SERRA,9079084,215
SP,SAO PAULO,HOSP ALBERT SABIN,2082314,215
AL,MACEIO,HOSPITAL UNIMED,5253381,214
MA,SAO LUIS,EBSERH HOSPITAL UNIVERSITARIO DE SAO LUIS,2726653,214
MG,BELO HORIZONTE,HOSPITAL RISOLETA TOLENTINO NEVES,27863,214
RJ,RIO DE JANEIRO,SMS HOSPITAL MUNICIPAL EVANDRO FREIRE AP 31,7166494,214
MS,CORUMBA,PRONTO SOCORRO MUNICIPAL DE CORUMBA,2558815,213
PR,CAMPINA GRANDE DO SUL,HOSPITAL ANGELINA CARON,13633,212
SC,BRUSQUE,HOSPITAL AZAMBUJA,2522411,212
AM,CAREIRO,UNIDADE HOSPITALAR DE CASTANHO,2017652,211
SP,SANTO ANDRE,HOSPITAL SANTA HELENA,3528596,211
MG,BELO HORIZONTE,UNIDADE DE PRONTO ATENDIMENTO NORDESTE,23051,210
MG,UBERLANDIA,HOSPITAL SANTA CLARA,2151871,210
PE,RECIFE,HOSPITAL SAO MARCOS,3374599,210
RJ,NOVA FRIBURGO,HOSPITAL MUNICIPAL RAUL SERTA,2272784,210
SP,CUBATAO,HOSPITAL DR LUIZ CAMARGO DA FONSECA E SILVA,2078473,210
SP,PRESIDENTE PRUDENTE,HOSPITAL DOMINGOS LEONARDO CERAVOLO PRESIDENTE PRUDENTE,2755130,210
RJ,RIO DE JANEIRO,HOSPITAL BALBINO,2271451,209
AM,MANAUS,HOSPITAL RIO NEGRO,9115153,208
MG,UBERLANDIA,HOSPITAL SANTA GENOVEVA,2151812,208
RJ,MACAE,UNIMED COSTA DO SOL HOSPITAL,5106702,208
RJ,RIO DE JANEIRO,SMS HOSPITAL MUNICIPAL DE CAMPANHA DO RIOCENTRO COVID 19,119016,207
SP,SAO PAULO,HOSPITAL GERAL DE SAO MATEUS SAO PAULO,2077493,207
PA,SANTAREM,UNIDADE DE PRONTO ATENDIMENTO UPA 24 HORAS,7530005,206
RJ,RIO DE JANEIRO,HOSPITAL NORTE DOR,6681573,206
RJ,RIO DE JANEIRO,MS HSE HOSPITAL DOS SERVIDORES DO ESTADO,2269988,206
AM,TEFE,HOSPITAL REGIONAL DE TEFE,2016141,205
SP,SAO VICENTE,HOSPITAL MUNICIPAL DE SAO VICENTE,3021378,205
AL,MACEIO,HOSPITAL DA MULHER DRA NISE DA SILVEIRA,9923837,204
AL,MACEIO,HOSPITAL METROPOLITANO DE ALAGOAS,136581,204
SC,JOINVILLE,HOSPITAL REGIONAL HANS DIETER SCHMIDT,2436450,204
SP,ARACATUBA,HOSPITAL UNIMED ARACATUBA,3366219,204
SP,ARUJA,HOSPITAL AMA S A,2083035,204
SP,MAUA,HOSPITAL AMERICA,2690764,204
AM,MANAUS,SAMEL,2017199,203
PA,ALTAMIRA,HOSPITAL REGIONAL PUBLICO DA TRANSAMAZONICA,5597501,203
SC,TUBARAO,HOSPITAL NOSSA SENHORA DA CONCEICAO,2491710,203
SP,PAULINIA,HOSPITAL MUNICIPAL DE PAULINIA,2081059,203
RJ,RIO DE JANEIRO,HOSPITAL CENTRAL DO EXERCITO,6753469,202
RN,NATAL,CASA DE SAUDE SAO LUCAS,2654016,202
SP,SAO PAULO,UNIDADE REFERENCIADA OSWALDO CRUZ VERGUEIRO,2078597,202
PE,RECIFE,UPA TORROES,6530389,201
CE,FORTALEZA,HOSPITAL GERAL DR WALDEMAR ALCANTARA,2785900,200
SP,SAO PAULO,HOSP MUN PROFESSOR DOUTOR ALIPIO CORREA NETTO,2082829,200
PE,RECIFE,CHS NOSSA SENHORA DAS GRACAS,6633064,199
SP,SAO PAULO,HOSPITAL CENTRAL DE GUAIANASES,2091801,199
PA,ALTAMIRA,HOSPITAL GERAL DE ALTAMIRA SAO RAFAEL,2330830,198
RJ,RIO DE JANEIRO,HOSPITAL ADVENTISTA SILVESTRE,2273357,198
SP,SANTOS,HOSPITAL SANTO ANTONIO SANTOS,2080354,198
BA,SALVADOR,UPA 24H VALE DOS BARRIS,7633149,197
SP,DIADEMA,PRONTO SOCORRO CENTRAL DE DIADEMA,2801051,197
SP,SAO PAULO,HOSP MUN GILSON DE CASSIA MARQUES DE CARVALHO,7711980,197
CE,FORTALEZA,UNIDADE PRONTO ATENDIMENTO ITAPERI,7514948,196
PE,RECIFE,UPA IBURA,6726852,196
RJ,RIO DE JANEIRO,CASA DE SAUDE NOSSA SENHORA DO CARMO,3046281,196
PR,CURITIBA,HOSPITAL VITA CURITIBA,3000850,195
SP,PIRACICABA,HOSPITAL DOS FORNECEDORES DE CANA DE PIRACICABA,2087057,195
SP,SUMARE,UNIDADE DE PRONTO ATENDIMENTO MACARENKO UPA 24H,2825260,195
SP,PIRACICABA,UPA PIRACICAMIRIM DR FORTUNATO LOSSO NETO PIRACICABA,2792346,194
BA,VITORIA DA CONQUISTA,HOSPITAL GERAL DE VITORIA DA CONQUISTA,2402076,193
MG,BELO HORIZONTE,HOSPITAL LIFECENTER,3314014,193
PR,PONTA GROSSA,HOSPITAL UNIVERSITARIO REGIONAL DOS CAMPOS GERAIS,6542638,193
RJ,RIO DE JANEIRO,MS HGB HOSPITAL GERAL DE BONSUCESSO,2269880,193
SP,SANTANA DE PARNAIBA,HOSPITAL E MATERNIDADE MUNICIPAL SANTA ANA,2072513,193
BA,ILHEUS,HOSPITAL REGIONAL COSTA DO CACAU,9388133,192
BA,SALVADOR,HOSPITAL ITAIGARA MEMORIAL,103594,192
RJ,DUQUE DE CAXIAS,SES RJ HOSPITAL ESTADUAL ADAO PEREIRA NUNES,2290227,192
RJ,RIO DE JANEIRO,CASA DE SAUDE SAO JOSE,2271443,192
RJ,RIO DE JANEIRO,UFRJ HOSPITAL UNIVERSITARIO CLEMENTINO FRAGA FILHO,2280167,192
GO,GOIANIA,HOSPITAL DAS CLINICAS,2338424,191
MG,MURIAE,CASA DE CARIDADE DE MURIAE HOSPITAL SAO PAULO,4042085,191
SC,FLORIANOPOLIS,HOSPITAL UNIVERSITARIO,3157245,191
SP,BOTUCATU,HOSPITAL DAS CLINICAS DA FACULDADE DE MEDICINA DE BOTUCATU,2748223,191
SP,FERRAZ DE VASCONCELOS,HOSPITAL DR OSIRIS FLORINDO COELHO FERRAZ DE VASCONCELOS,2080079,191
SP,SAO PAULO,HOSP MUN PIRITUBA JOSE SOARES HUNGRIA,2077450,191
PE,RECIFE,HOSPITAL DE CAMPANHA DO RECIFE HPR III IMBIRIBEIRA,101834,190
AC,RIO BRANCO,HOSPITAL GERAL DE CLINICAS DE RIO BRANCO,2001578,189
MG,CONTAGEM,HOSPITAL MUNICIPAL DE CONTAGEM,2200473,189
CE,FORTALEZA,HOSPITAL DISTRITAL GONZAGA MOTA JOSE WALTER,2529068,188
MG,BELO HORIZONTE,COMPLEXO HOSPITALAR SAO FRANCISCO,26840,187
MG,GOVERNADOR VALADARES,HOSPITAL UNIMED GOVERNADOR VALADARES,6236367,187
MT,QUERENCIA,CENTRO DE SAUDE DE QUERENCIA,2534401,187
PA,CASTANHAL,HOSP MUN URG EMERG MARIA LAISE PEREIRA,2674769,187
SC,JARAGUA DO SUL,HOSPITAL SAO JOSE,2306336,187
AP,MACAPA,HOSPITAL DE CAMPANHA CENTRO COVID IV,176664,185
DF,BRASILIA,HOME HOSPITAL ORTOPEDICO E MEDICINA ESPECIALIZADA,6243495,185
DF,BRASILIA,HRL,2645157,185
PR,CURITIBA,HNSG,15318,185
AM,MANAUS,HOSPITAL SANTA JULIA,2018055,184
CE,FORTALEZA,HOSPITAL MONTE KLINIKUM,3055426,184
MS,CAMPO GRANDE,HOSPITAL UNIMED,3018903,184
PE,OLINDA,HOSPITAL ESPERANCA OLINDA,2344807,184
SP,PIRACICABA,SANTA CASA DE PIRACICABA,2772310,184
PE,RECIFE,US 153 POLICLINICA E MATERNIDADE ARNALDO MARQUES,671,183
PI,TERESINA,HOSPITAL SAO MARCOS,2726998,183
PR,FOZ DO IGUACU,HOSPITAL MUNICIPAL PADRE GERMANO LAUCK,5061989,183
RJ,RIO DE JANEIRO,HOSPITAL SAO MATHEUS,6427138,183
RN,MOSSORO,HOSPITAL WILSON ROSADO,2371707,183
RS,SANTA MARIA,HOSPITAL DE CARIDADE ASTROGILDO DE AZEVEDO,2244276,183
SP,SAO PAULO,PSM DONA MARIA ANTONIETA FERREIRA DE BARROS,4050282,183
RJ,RIO DE JANEIRO,CASA DE PORTUGAL,3113205,182
SP,ITU,VIGILANCIA EPIDEMIOLOGICA,2802511,182
MA,SANTA INES,HOSPITAL REGIONAL TOMAS MARTINS,9077413,181
RS,PORTO ALEGRE,HOSPITAL ERNESTO DORNELLES,3567664,181
SC,XANXERE,HOSPITAL REGIONAL SAO PAULO ASSEC,2411393,181
SP,CAMPINAS,HOSPITAL UNIMED,9477373,181
SP,ITAQUAQUECETUBA,UPA SADAKO SEDOGUTI,7494068,181
CE,TIANGUA,HOSPITAL MATERNIDADE MADALENA NUNES,2560852,180
MG,BELO HORIZONTE,UNIDADE DE PRONTO ATENDIMENTO OESTE,23310,180
SP,SAO CAETANO DO SUL,HOSPITAL NOSSA SENHORA DE FATIMA,2082330,180
SP,SAO PAULO,HOSP MUN V NHOCUNE ALEXANDRE ZAIO,2080788,180
PE,GARANHUNS,HOSPITAL REGIONAL DOM MOURA,2702983,179
SP,JUNDIAI,INTERMEDICA HPS HOSPITAL PAULO SACRAMENTO,2078066,179
SP,SAO PAULO,HOSPITAL PRESIDENTE,2077604,179
TO,ARAGUAINA,HOSPITAL REGIONAL DE ARAGUAINA,2600536,179
RJ,NITEROI,SES RJ HOSPITAL ESTADUAL AZEVEDO LIMA,12521,178
SP,FRANCO DA ROCHA,HOSPITAL PREVINA,2798220,178
SP,JUNDIAI,PRONTO ATENDIMENTO UNIMED JUNDIAI,3497445,178
TO,PALMAS,HOSPITAL GERAL DE PALMAS DR FRANCISCO AYRES,2786117,178
DF,BRASILIA,HRPL,10529,176
AM,MANAUS,CHECKUP HOSPITAL LTDA,2018004,175
SP,AMERICANA,HOSPITAL MUNICIPAL DR WALDEMAR TEBALDI,2058790,174
SP,ARUJA,HOSPITAL DALILA FERREIRA BARBOSA,6451098,174
CE,MARACANAU,HOSPITAL MUNICIPAL DR JOAO ELISIO DE HOLANDA,2806215,173
RJ,RIO DE JANEIRO,MS HOSPITAL FEDERAL DO ANDARAI,2269384,173
RS,CANOAS,HOSPITAL UNIVERSITARIO,3508528,173
SP,CARAGUATATUBA,UNIDADE DE PRONTO ATENDIMENTO CENTRAL DE CARAGUATATUBA,7184689,173
SP,SAO PAULO,PS MUN V MARIA BAIXA,2075407,173
SP,SAO PAULO,INSTITUTO DANTE PAZZANESE DE CARDIOLOGIA IDPC SAO PAULO,2088495,172
SP,VALINHOS,IRMANDADE DA SANTA CASA DE MISERICORDIA DE VALINHOS,2097877,172
BA,LAURO DE FREITAS,HOSPITAL COSTA DOS COQUEIROS,131202,171
CE,FORTALEZA,HOSPITAL E MATERNIDADE DRA ZILDA ARNS NEUMANN,7047428,170
MG,BETIM,HOSPITAL PUBLICO REGIONAL PREFEITO OSVALDO REZENDE FRANCO,2126494,169
PE,RECIFE,HOSPITAL BARAO DE LUCENA,2427427,169
SP,CAMPINAS,UNIDADE DE PRONTO ATENDIMENTO VILA PADRE ANCHIETA,2022877,169
SP,SAO PAULO,UPA PERUS DR LUIZ ANTONIO DE ABREU SAMPAIO DORIA,4050169,169
SP,SAO CAETANO DO SUL,HOSPITAL SAO LUIZ SAO CAETANO,9194258,168
SP,SAO PAULO,HOSPITAL REGIONAL SUL SAO PAULO,2091313,168
AL,ARAPIRACA,CHAMA,2005417,167
GO,APARECIDA DE GOIANIA,UPA BRASICON,2589648,167
SP,SERRANA,VIGILANCIA EPIDEMIOLOGICA DE SERRANA,6406920,167
AL,ARAPIRACA,HOSPITAL MEMORIAL DJACY BARBOSA,2004976,166
RJ,RIO DE JANEIRO,HOSPITAL CEMERU,3521133,166
SE,ARACAJU,HOSPITAL MUNICIPAL ZONA SUL DES FERNANDO FRANCO,2372,166
SP,CAJAMAR,HOSPITAL ENF ANTONIO POLICARPO DE OLIVEIRA,2096196,166
AM,PARINTINS,HOSPITAL REGIONAL DR JOFRE DE MATOS COHEN,3210243,165
CE,FORTALEZA,UPA UNIDADE DE PRONTO ATENDIMENTO BOM JARDIM,7993218,165
MG,BELO HORIZONTE,BH HOSPITAL GOVERNADOR ISRAEL PINHEIRO HGIP,6575560,165
PA,PARAUAPEBAS,UPA CIDADE JARDIM,7904894,165
PB,JOAO PESSOA,HOSPITAL PRONTOVIDA,147907,165
RJ,SAO GONCALO,PRONTO SOCORRO CENTRAL DR ARMANDO GOMES DE SA COUTO,2696746,165
AL,MACEIO,HOSPITAL MEMORIAL ARTHUR RAMOS,2006472,164
RN,NATAL,HOSPITAL DO CORACAO DE NATAL,8003629,164
PB,PATOS,COMPLEXO HOSPITALAR DEP JANDUHY CARNEIRO,2605473,163
PE,RECIFE,HOSPITAL UNIMED RECIFE III,6962831,163
PR,PARANAGUA,HOSPITAL REGIONAL DO LITORAL,2687127,163
RJ,RIO DE JANEIRO,SAMARITANO BARRA,7642415,163
RS,LAJEADO,HOSPITAL BRUNO BORN,2252287,163
SP,SAO PAULO,HOSP DOM ANTONIO DE ALVARENGA,2077469,163
SP,VALINHOS,HOSPITAL E MATERNIDADE GALILEO,5515483,163
AM,HUMAITA,HOSPITAL DR LUIZA DA CONCEICAO FERNANDES,2017016,162
BA,VITORIA DA CONQUISTA,HCC HOSPITAL DE CLINICA DE CONQUISTA,2402084,162
PB,JOAO PESSOA,HOSPITAL MUNICIPAL SANTA ISABEL,2399555,162
PI,TERESINA,HOSPITAL DE CAMPANHA ESTADUAL VERDAO,174815,162
RJ,RIO DE JANEIRO,HOSPITAL CENTRAL DA AERONAUTICA HCA,6043941,162
RJ,SAO GONCALO,SES RJ HOSPITAL ESTADUAL ALBERTO TORRES GERAL SAO GONCALO,2298031,162
SP,BAURU,PRONTO SOCORRO CENTRAL DE BAURU,4047303,162
SP,OSASCO,PS JOSE IBRAHIN,7682581,162
PA,BELEM,HOSPITAL HSM,3472264,161
SP,SOROCABA,HOSPITAL SAMARITANO DE SOROCABA,2078732,161
BA,FEIRA DE SANTANA,HOSPITAL GERAL CLERISTON ANDRADE,2799758,160
CE,FORTALEZA,CASA DE SAUDE E MATERNIDADE SAO RAIMUNDO,2527057,160
PB,JOAO PESSOA,HOSPITAL UNIVERSITARIO LAURO WANDERLEY,2400243,160
PE,RECIFE,HOSPITAL MEMORIAL SAO JOSE,2517140,160
PE,RECIFE,PROCAPE,3983730,160
PI,TERESINA,UNIDADE DE SAUDE PRIMAVERA,2323354,160
RJ,RIO DE JANEIRO,HOSPITAL SAO VICENTE DE PAULO,2270544,160
MG,CONTAGEM,UNIDADE PRONTO ATENDIMENTO CONTAGEM,7818858,159
PE,VITORIA DE SANTO ANTAO,HOSPITAL JOAO MURILO E POLICLINICA DE VITORIA,2712008,159
PR,CASCAVEL,UPA VENEZA,2738864,159
DF,BRASILIA,HOSPITAL DAHER LAGO SUL SA,7978642,158
PA,ITAITUBA,UNIDADE DE PRONTO ATENDIMENTO UPA,7926693,158
PB,JOAO PESSOA,MATERNIDADE FREI DAMIAO,2707527,158
PE,RECIFE,PA DERBY,9145133,158
RJ,RIO DE JANEIRO,SES RJ UPA 24H COPACABANA,6858317,158
MG,BELO HORIZONTE,HOSPITAL SEMPER,26727,157
PA,PARAGOMINAS,HOSPITAL REGIONAL PUBLICO DO LESTE DO PARA,7563701,157
SP,CATANDUVA,UNIMED HOSPITAL SAO DOMINGOS,2070413,157
SP,PRAIA GRANDE,COMPLEXO HOSPITALAR IRMA DULCE O S S,2716097,157
MA,IMPERATRIZ,UPA IMPERATRIZ,6929583,156
RS,RIO GRANDE,SANTA CASA DO RIO GRANDE,2232995,156
SP,SAO PAULO,HOSPITAL E PRONTO SOCORRO PORTINARI LTDA,2823209,156
TO,ARAGUAINA,HOSPITAL MUNICIPAL DE ARAGUAINA,3663051,156
PA,TAILANDIA,HOSPITAL GERAL DE TAILANDIA,6779069,155
RJ,RIO DE JANEIRO,HOSPITAL RIOS DOR,6176666,155
SP,SAO BERNARDO DO CAMPO,HOSPITAL E PRONTO ATENDIMENTO SANCTA MAGGIORE,7435568,155
AL,CAMPO ALEGRE,UNIDADE MISTA SENADOR ARNON DE MELO,2722410,154
MT,CUIABA,HOSPITAL UNIVERSITARIO JULIO MULLER,2655411,154
PA,TUCURUI,UPA 24HS TUCURUI EROSTACIO CORREA FILOCREAO IOIO,7084307,154
PE,RECIFE,UPA CAXANGA,6488315,154
SE,LAGARTO,HOSPITAL UNIV MONSENHOR JOAO BATISTA DE CARVALHO DALTRO,6568343,154
SP,RIBEIRAO PRETO,HOSPITAL SANTA LYDIA RIBEIRAO PRETO,2081164,154
SP,SAO CAETANO DO SUL,COMPLEXO HOSPITALAR MUNICIPAL,2082594,154
MA,SAO LUIS,HOSPITAL DE CUIDADOS INTENSIVOS HCI,9161449,153
RJ,RIO DE JANEIRO,HOSPITAL PANAMERICANO,7898843,153
RJ,RIO DE JANEIRO,SMS UPA 24H ROCHA MIRANDA AP 33,7110162,153
SP,DIADEMA,HOSPITAL ESTADUAL DE DIADEMA HOSPITAL SERRARIA,2084163,153
SP,LEME,SANTA CASA DE LEME,2078074,153
SP,SAO BERNARDO DO CAMPO,HOSPITAL DE CLINICAS MUNICIPAL,7373465,153
AC,RIO BRANCO,FUNDHACRE,2001586,152
AL,MACEIO,HOSPITAL UNIVERSITARIO PROF ALBERTO ANTUNES,2006197,152
PR,LONDRINA,HOSPITAL EVANGELICO DE LONDRINA,2550792,152
RJ,CABO FRIO,HOSPITAL SAO JOSE OPERARIO,2283395,152
SC,BLUMENAU,HOSPITAL SANTA ISABEL,2558246,152
SC,JOINVILLE,HOSPITAL BETHESDA,2521296,152
SP,SANTA BARBARA D'OESTE,PRONTO SOCORRO DR EDISON DANIEL DOS SANTOS MANO,6754775,152
SP,SANTO ANDRE,CENTRO HOSPITALAR DE SANTO ANDRE DR NEWTON DA COSTA BRANDAO,8923,152
BA,ITABUNA,HOSPITAL CALIXTO MIDLEJ FILHO,2772280,150
CE,CAUCAIA,HOSP MUN ABELARDO GADELHA DA ROCHA,2562316,150
SE,ARACAJU,HOSPITAL UNIVERSITARIO DE SERGIPE HUSE,2534,150
SP,SAO PAULO,HOSPITAL ADVENTISTA DE SAO PAULO,3166597,150
AP,MACAPA,HOSPITAL DE CAMPANHA CENTRO COVID II,188875,149
CE,FORTALEZA,UNIDADE PRONTO ATENDIMENTO PRAIA DO FUTURO,6985483,149
MT,ALTO ARAGUAIA,HOSPITAL MUNICIPAL DE ALTO ARAGUAIA,2396998,149
PB,JOAO PESSOA,SECRETARIA MUNICIPAL DE SAUDE DE JOAO PESSOA,6525938,149
RJ,RIO DE JANEIRO,SES RJ UPA 24H CAMPO GRANDE,5955653,149
SP,CAMPINAS,UNIDADE DE PRONTO ATENDIMENTO SAO JOSE,2023571,149
AM,COARI,HOSPITAL REGIONAL DE COARI PREF DR ODAIR CARLOS GERALDO,2018136,148
MS,DOURADOS,HOSPITAL SANTA RITA LTDA,3074889,148
RJ,DUQUE DE CAXIAS,HOSPITAL CAXIAS DOR,7244339,148
RS,SAPUCAIA DO SUL,FUNDACAO HOSPITALAR DE SAPUCAIA DO SUL,2232162,148
SE,ESTANCIA,HOSPITAL REGIONAL DE ESTANCIA JESSE FONTES,6901743,148
AL,MACEIO,SANTA CASA DE MISERICORDIA DE MACEIO,2007037,147
BA,SALVADOR,HOSPITAL DE CAMPANHA COVID 19 WETN WILD,103497,147
DF,BRASILIA,UPA RECANTO DAS EMAS,7078730,147
ES,SERRA,HOSPITAL METROPOLITANO S A,2547058,147
ES,VITORIA,HOSPITAL SANTA RITA DE CASSIA VITORIA,11738,147
MT,JURUENA,SECRETARIA MUNICIPAL DE SAUDE E SANEAMENTO DE JURUENA,5543983,147
PA,CAPITAO POCO,HOSPITAL MATERNIDADE DO POVO CAPITAO POCO,2330962,147
SP,GUARULHOS,HOSPITAL NEUROCENTER,9149511,147
SP,GUARULHOS,PRONTO ATENDIMENTO MARIA DIRCE,2090589,147
BA,VITORIA DA CONQUISTA,HOSPITAL SAO VICENTE DE PAULO,2487756,146
PA,CASTANHAL,UPA PORTE III CASTANHAL GOVERNADOR ALMIR GABRIEL,7474423,146
PA,SANTAREM,HOSPITAL REGIONAL DO BAIXO AMAZONAS DO PA DR WALDEMAR PENNA,5585422,146
PR,CURITIBA,HOSPITAL ERASTO GAERTNER,15644,145
RJ,NITEROI,HOSPITAL UNIVERSITARIO ANTONIO PEDRO,12505,145
RS,NOVO HAMBURGO,HOSPITAL REGINA NOVO HAMBURGO,2232057,145
SP,SAO BERNARDO DO CAMPO,HOSPITAL NEXT SAO BERNARDO,2083248,145
MA,SAO LUIS,UDI HOSPITAL,2309149,144
MT,JUINA,SECRETARIA MUNICIPAL DE SAUDE DE JUINA,5469287,144
PR,ARAPONGAS,HONPAR HOSPITAL NORTE PARANAENSE,2576341,144
RJ,RIO DE JANEIRO,HOSPITAL BARRA DOR,7458940,144
RJ,RIO DE JANEIRO,SMS UPA 24H MANGUINHOS AP 31,6421482,144
DF,BRASILIA,DF STAR,9727353,143
DF,BRASILIA,HRS,10502,143
MG,UBERLANDIA,UAI PLANALTO DR TUBAL VILELA DA SILVA,2153009,143
SC,LAGES,HOSPITAL E MATERNIDADE TEREZA RAMOS,2504332,143
AM,MAUES,HOSPITAL DE MAUES DONA MUNDIQUINHA,2018144,142
RJ,GUAPIMIRIM,HOSPITAL MUNICIPAL JOSE RABELLO DE MELLO,6146376,142
RN,NATAL,HOSPITAL RIO GRANDE,2656930,142
RN,NATAL,UPA 24H ESPERANCA,7408765,142
SE,ARACAJU,HOSPITAL SAO JOSE,2275,142
PE,RECIFE,HOSPITAL PELOPIDAS SILVEIRA,6908268,141
PA,PARAUAPEBAS,HOSPITAL YUTAKA TAKEDA,2673886,140
RN,NATAL,HOSPITAL DR JOSE PEDRO BEZERRA,2408570,140
SP,SANTOS,HOSPITAL SAO LUCAS DE SANTOS,2078740,140
SP,SAO PAULO,UPA JACANA,9997091,140
