UF;Municipio;Unidade;Notificações
SP;HORTOLANDIA;UPA NOVA HORTOLANDIA MANOEL GEORGINO LOPES; 234
PR;CASCAVEL;UPA BRASILIA; 233
PI;TERESINA;UNIDADE DE SAUDE SATELITE; 231
RS;PORTO ALEGRE;ASSOCIACAO HOSPITALAR VILA NOVA; 231
SP;SERTAOZINHO;HOSPITAL E MATERNIDADE SAO JOSE SERTAOZINHO; 231
SP;LIMEIRA;SOCIEDADE OPERARIA HUMANITARIA LIMEIRA; 230
AM;MANACAPURU;HOSPITAL GERAL DE MANACAPURU; 228
SP;SANTOS;CASA DE SAUDE SANTOS; 228
PE;RECIFE;PRONTO ATENDIMENTO CAXANGA; 227
TO;ARAGUAINA;HOSPITAL DOM ORIONE DE ARAGUAINA; 227
MT;CUIABA;HOSPITAL E MATERNIDADE SAO MATEUS; 226
SP;SAO PAULO;HOSPITAL SANTA PAULA; 226
SP;PARIQUERA-ACU;HOSPITAL DR LEOPOLDO BEVILACQUA; 225
PR;CURITIBA;HOSPITAL SANTA CRUZ; 224
RJ;RIO DE JANEIRO;MS INCA HOSPITAL DO CANCER I; 224
SP;SAO JOSE DO RIO PRETO;UPA JAGUARE; 224
AM;MANAUS;HOSPITAL DE COMBATE AO COVID 19; 223
GO;GOIANIA;HOSPITAL DE URGENCIAS GOV OTAVIO LAGE DE SIQUEIRA HUGOL; 223
MG;BELO HORIZONTE;UNIDADE DE PRONTO ATENDIMENTO LESTE; 223
SC;BALNEARIO CAMBORIU;HOSPITAL MUNICIPAL RUTH CARDOSO; 222
SP;ARARAS;HOSPITAL SAO LUIZ DE ARARAS; 222
SP;CAMPINAS;UNIDADE DE PRONTO ATENDIMENTO DR SERGIO AROUCA CAMPO GRANDE; 222
SP;GUARULHOS;HOSPITAL E MATERNIDADE GUARULHOS; 222
SP;SAO PAULO;HOSPITAL SANTA VIRGINIA; 222
RJ;RIO DE JANEIRO;SMS COORD DE EMERGENCIA REGIONAL CER CENTRO AP 10; 221
SE;NOSSA SENHORA DO SOCORRO;HOSPITAL REGIONAL JOSE FRANCO SOBRINHO; 221
SP;SAO PAULO;A C CAMARGO CANCER CENTER; 221
CE;FORTALEZA;HOSPITAL SAO MATEUS; 220
SE;ITABAIANA;HOSPITAL DR PEDRO GARCIA MORENO; 220
SP;OSASCO;HOSPITAL DE CAMPANHA COVID 19 OSASCO; 220
RJ;CABO FRIO;HOSPITAL SANTA IZABEL; 219
RJ;RIO DE JANEIRO;SMS COORD DE EMERGENCIA REGIONAL CER LEBLON AP 21; 219
AL;ARAPIRACA;HOSPITAL REGIONAL DE ARAPIRACA; 218
RJ;RIO DE JANEIRO;HOSPITAL COPA STAR; 218
SP;CAMPINAS;CASA DE SAUDE; 218
BA;SALVADOR;CARDIO PULMONAR DA BAHIA; 217
CE;FORTALEZA;HOSPITAL SAO CARLOS; 217
SP;SAO PAULO;PS MUN DR CAETANO VIRGILIO NETTO; 217
SP;SAO PAULO;UPA TITO LOPES; 217
CE;FORTALEZA;UNIDADE PRONTO ATENDIMENTO CRISTO REDENTOR; 216
SC;CRICIUMA;HOSPITAL SAO JOSE; 216
MG;BELO HORIZONTE;HOSPITAL JULIA KUBITSCHEK; 215
MT;TANGARA DA SERRA;VIGILANCIA EPIDEMIOLOGICA DE TANGARA DA SERRA; 215
SP;SAO PAULO;HOSP ALBERT SABIN; 215
AL;MACEIO;HOSPITAL UNIMED; 214
MA;SAO LUIS;EBSERH HOSPITAL UNIVERSITARIO DE SAO LUIS; 214
MG;BELO HORIZONTE;HOSPITAL RISOLETA TOLENTINO NEVES; 214
RJ;RIO DE JANEIRO;SMS HOSPITAL MUNICIPAL EVANDRO FREIRE AP 31; 214
MS;CORUMBA;PRONTO SOCORRO MUNICIPAL DE CORUMBA; 213
PR;CAMPINA GRANDE DO SUL;HOSPITAL ANGELINA CARON; 212
SC;BRUSQUE;HOSPITAL AZAMBUJA; 212
AM;CAREIRO;UNIDADE HOSPITALAR DE CASTANHO; 211
SP;SANTO ANDRE;HOSPITAL SANTA HELENA; 211
MG;BELO HORIZONTE;UNIDADE DE PRONTO ATENDIMENTO NORDESTE; 210
MG;UBERLANDIA;HOSPITAL SANTA CLARA; 210
PE;RECIFE;HOSPITAL SAO MARCOS; 210
RJ;NOVA FRIBURGO;HOSPITAL MUNICIPAL RAUL SERTA; 210
SP;CUBATAO;HOSPITAL DR LUIZ CAMARGO DA FONSECA E SILVA; 210
SP;PRESIDENTE PRUDENTE;HOSPITAL DOMINGOS LEONARDO CERAVOLO PRESIDENTE PRUDENTE; 210
RJ;RIO DE JANEIRO;HOSPITAL BALBINO; 209
AM;MANAUS;HOSPITAL RIO NEGRO; 208
MG;UBERLANDIA;HOSPITAL SANTA GENOVEVA; 208
RJ;MACAE;UNIMED COSTA DO SOL HOSPITAL; 208
RJ;RIO DE JANEIRO;SMS HOSPITAL MUNICIPAL DE CAMPANHA DO RIOCENTRO COVID 19; 207
SP;SAO PAULO;HOSPITAL GERAL DE SAO MATEUS SAO PAULO; 207
PA;SANTAREM;UNIDADE DE PRONTO ATENDIMENTO UPA 24 HORAS; 206
RJ;RIO DE JANEIRO;HOSPITAL NORTE DOR; 206
RJ;RIO DE JANEIRO;MS HSE HOSPITAL DOS SERVIDORES DO ESTADO; 206
AM;TEFE;HOSPITAL REGIONAL DE TEFE; 205
SP;SAO VICENTE;HOSPITAL MUNICIPAL DE SAO VICENTE; 205
AL;MACEIO;HOSPITAL DA MULHER DRA NISE DA SILVEIRA; 204
AL;MACEIO;HOSPITAL METROPOLITANO DE ALAGOAS; 204
SC;JOINVILLE;HOSPITAL REGIONAL HANS DIETER SCHMIDT; 204
SP;ARACATUBA;HOSPITAL UNIMED ARACATUBA; 204
SP;ARUJA;HOSPITAL AMA S A; 204
SP;MAUA;HOSPITAL AMERICA; 204
AM;MANAUS;SAMEL; 203
PA;ALTAMIRA;HOSPITAL REGIONAL PUBLICO DA TRANSAMAZONICA; 203
SC;TUBARAO;HOSPITAL NOSSA SENHORA DA CONCEICAO; 203
SP;PAULINIA;HOSPITAL MUNICIPAL DE PAULINIA; 203
RJ;RIO DE JANEIRO;HOSPITAL CENTRAL DO EXERCITO; 202
RN;NATAL;CASA DE SAUDE SAO LUCAS; 202
SP;SAO PAULO;UNIDADE REFERENCIADA OSWALDO CRUZ VERGUEIRO; 202
PE;RECIFE;UPA TORROES; 201
CE;FORTALEZA;HOSPITAL GERAL DR WALDEMAR ALCANTARA; 200
SP;SAO PAULO;HOSP MUN PROFESSOR DOUTOR ALIPIO CORREA NETTO; 200
PE;RECIFE;CHS NOSSA SENHORA DAS GRACAS; 199
SP;SAO PAULO;HOSPITAL CENTRAL DE GUAIANASES; 199
PA;ALTAMIRA;HOSPITAL GERAL DE ALTAMIRA SAO RAFAEL; 198
RJ;RIO DE JANEIRO;HOSPITAL ADVENTISTA SILVESTRE; 198
SP;SANTOS;HOSPITAL SANTO ANTONIO SANTOS; 198
BA;SALVADOR;UPA 24H VALE DOS BARRIS; 197
SP;DIADEMA;PRONTO SOCORRO CENTRAL DE DIADEMA; 197
SP;SAO PAULO;HOSP MUN GILSON DE CASSIA MARQUES DE CARVALHO; 197
CE;FORTALEZA;UNIDADE PRONTO ATENDIMENTO ITAPERI; 196
PE;RECIFE;UPA IBURA; 196
RJ;RIO DE JANEIRO;CASA DE SAUDE NOSSA SENHORA DO CARMO; 196
PR;CURITIBA;HOSPITAL VITA CURITIBA; 195
SP;PIRACICABA;HOSPITAL DOS FORNECEDORES DE CANA DE PIRACICABA; 195
SP;SUMARE;UNIDADE DE PRONTO ATENDIMENTO MACARENKO UPA 24H; 195
SP;PIRACICABA;UPA PIRACICAMIRIM DR FORTUNATO LOSSO NETO PIRACICABA; 194
BA;VITORIA DA CONQUISTA;HOSPITAL GERAL DE VITORIA DA CONQUISTA; 193
MG;BELO HORIZONTE;HOSPITAL LIFECENTER; 193
PR;PONTA GROSSA;HOSPITAL UNIVERSITARIO REGIONAL DOS CAMPOS GERAIS; 193
RJ;RIO DE JANEIRO;MS HGB HOSPITAL GERAL DE BONSUCESSO; 193
SP;SANTANA DE PARNAIBA;HOSPITAL E MATERNIDADE MUNICIPAL SANTA ANA; 193
BA;ILHEUS;HOSPITAL REGIONAL COSTA DO CACAU; 192
BA;SALVADOR;HOSPITAL ITAIGARA MEMORIAL; 192
RJ;DUQUE DE CAXIAS;SES RJ HOSPITAL ESTADUAL ADAO PEREIRA NUNES; 192
RJ;RIO DE JANEIRO;CASA DE SAUDE SAO JOSE; 192
RJ;RIO DE JANEIRO;UFRJ HOSPITAL UNIVERSITARIO CLEMENTINO FRAGA FILHO; 192
GO;GOIANIA;HOSPITAL DAS CLINICAS; 191
MG;MURIAE;CASA DE CARIDADE DE MURIAE HOSPITAL SAO PAULO; 191
SC;FLORIANOPOLIS;HOSPITAL UNIVERSITARIO; 191
SP;BOTUCATU;HOSPITAL DAS CLINICAS DA FACULDADE DE MEDICINA DE BOTUCATU; 191
SP;FERRAZ DE VASCONCELOS;HOSPITAL DR OSIRIS FLORINDO COELHO FERRAZ DE VASCONCELOS; 191
SP;SAO PAULO;HOSP MUN PIRITUBA JOSE SOARES HUNGRIA; 191
PE;RECIFE;HOSPITAL DE CAMPANHA DO RECIFE HPR III IMBIRIBEIRA; 190
AC;RIO BRANCO;HOSPITAL GERAL DE CLINICAS DE RIO BRANCO; 189
MG;CONTAGEM;HOSPITAL MUNICIPAL DE CONTAGEM; 189
CE;FORTALEZA;HOSPITAL DISTRITAL GONZAGA MOTA JOSE WALTER; 188
MG;BELO HORIZONTE;COMPLEXO HOSPITALAR SAO FRANCISCO; 187
MG;GOVERNADOR VALADARES;HOSPITAL UNIMED GOVERNADOR VALADARES; 187
MT;QUERENCIA;CENTRO DE SAUDE DE QUERENCIA; 187
PA;CASTANHAL;HOSP MUN URG EMERG MARIA LAISE PEREIRA; 187
SC;JARAGUA DO SUL;HOSPITAL SAO JOSE; 187
AP;MACAPA;HOSPITAL DE CAMPANHA CENTRO COVID IV; 185
DF;BRASILIA;HOME HOSPITAL ORTOPEDICO E MEDICINA ESPECIALIZADA; 185
DF;BRASILIA;HRL; 185
PR;CURITIBA;HNSG; 185
AM;MANAUS;HOSPITAL SANTA JULIA; 184
CE;FORTALEZA;HOSPITAL MONTE KLINIKUM; 184
MS;CAMPO GRANDE;HOSPITAL UNIMED; 184
PE;OLINDA;HOSPITAL ESPERANCA OLINDA; 184
SP;PIRACICABA;SANTA CASA DE PIRACICABA; 184
PE;RECIFE;US 153 POLICLINICA E MATERNIDADE ARNALDO MARQUES; 183
PI;TERESINA;HOSPITAL SAO MARCOS; 183
PR;FOZ DO IGUACU;HOSPITAL MUNICIPAL PADRE GERMANO LAUCK; 183
RJ;RIO DE JANEIRO;HOSPITAL SAO MATHEUS; 183
RN;MOSSORO;HOSPITAL WILSON ROSADO; 183
RS;SANTA MARIA;HOSPITAL DE CARIDADE ASTROGILDO DE AZEVEDO; 183
SP;SAO PAULO;PSM DONA MARIA ANTONIETA FERREIRA DE BARROS; 183
RJ;RIO DE JANEIRO;CASA DE PORTUGAL; 182
SP;ITU;VIGILANCIA EPIDEMIOLOGICA; 182
MA;SANTA INES;HOSPITAL REGIONAL TOMAS MARTINS; 181
RS;PORTO ALEGRE;HOSPITAL ERNESTO DORNELLES; 181
SC;XANXERE;HOSPITAL REGIONAL SAO PAULO ASSEC; 181
SP;CAMPINAS;HOSPITAL UNIMED; 181
SP;ITAQUAQUECETUBA;UPA SADAKO SEDOGUTI; 181
CE;TIANGUA;HOSPITAL MATERNIDADE MADALENA NUNES; 180
MG;BELO HORIZONTE;UNIDADE DE PRONTO ATENDIMENTO OESTE; 180
SP;SAO CAETANO DO SUL;HOSPITAL NOSSA SENHORA DE FATIMA; 180
SP;SAO PAULO;HOSP MUN V NHOCUNE ALEXANDRE ZAIO; 180
PE;GARANHUNS;HOSPITAL REGIONAL DOM MOURA; 179
SP;JUNDIAI;INTERMEDICA HPS HOSPITAL PAULO SACRAMENTO; 179
SP;SAO PAULO;HOSPITAL PRESIDENTE; 179
TO;ARAGUAINA;HOSPITAL REGIONAL DE ARAGUAINA; 179
RJ;NITEROI;SES RJ HOSPITAL ESTADUAL AZEVEDO LIMA; 178
SP;FRANCO DA ROCHA;HOSPITAL PREVINA; 178
SP;JUNDIAI;PRONTO ATENDIMENTO UNIMED JUNDIAI; 178
TO;PALMAS;HOSPITAL GERAL DE PALMAS DR FRANCISCO AYRES; 178
DF;BRASILIA;HRPL; 176
AM;MANAUS;CHECKUP HOSPITAL LTDA; 175
SP;AMERICANA;HOSPITAL MUNICIPAL DR WALDEMAR TEBALDI; 174
SP;ARUJA;HOSPITAL DALILA FERREIRA BARBOSA; 174
CE;MARACANAU;HOSPITAL MUNICIPAL DR JOAO ELISIO DE HOLANDA; 173
RJ;RIO DE JANEIRO;MS HOSPITAL FEDERAL DO ANDARAI; 173
RS;CANOAS;HOSPITAL UNIVERSITARIO; 173
SP;CARAGUATATUBA;UNIDADE DE PRONTO ATENDIMENTO CENTRAL DE CARAGUATATUBA; 173
SP;SAO PAULO;PS MUN V MARIA BAIXA; 173
SP;SAO PAULO;INSTITUTO DANTE PAZZANESE DE CARDIOLOGIA IDPC SAO PAULO; 172
SP;VALINHOS;IRMANDADE DA SANTA CASA DE MISERICORDIA DE VALINHOS; 172
BA;LAURO DE FREITAS;HOSPITAL COSTA DOS COQUEIROS; 171
CE;FORTALEZA;HOSPITAL E MATERNIDADE DRA ZILDA ARNS NEUMANN; 170
MG;BETIM;HOSPITAL PUBLICO REGIONAL PREFEITO OSVALDO REZENDE FRANCO; 169
PE;RECIFE;HOSPITAL BARAO DE LUCENA; 169
SP;CAMPINAS;UNIDADE DE PRONTO ATENDIMENTO VILA PADRE ANCHIETA; 169
SP;SAO PAULO;UPA PERUS DR LUIZ ANTONIO DE ABREU SAMPAIO DORIA; 169
SP;SAO CAETANO DO SUL;HOSPITAL SAO LUIZ SAO CAETANO; 168
SP;SAO PAULO;HOSPITAL REGIONAL SUL SAO PAULO; 168
AL;ARAPIRACA;CHAMA; 167
GO;APARECIDA DE GOIANIA;UPA BRASICON; 167
RJ;RIO DE JANEIRO;HOSPITAL BARRA DOR; 167
SP;SERRANA;VIGILANCIA EPIDEMIOLOGICA DE SERRANA; 167
AL;ARAPIRACA;HOSPITAL MEMORIAL DJACY BARBOSA; 166
RJ;RIO DE JANEIRO;HOSPITAL CEMERU; 166
SE;ARACAJU;HOSPITAL MUNICIPAL ZONA SUL DES FERNANDO FRANCO; 166
SP;CAJAMAR;HOSPITAL ENF ANTONIO POLICARPO DE OLIVEIRA; 166
AM;PARINTINS;HOSPITAL REGIONAL DR JOFRE DE MATOS COHEN; 165
CE;FORTALEZA;UPA UNIDADE DE PRONTO ATENDIMENTO BOM JARDIM; 165
MG;BELO HORIZONTE;BH HOSPITAL GOVERNADOR ISRAEL PINHEIRO HGIP; 165
PA;PARAUAPEBAS;UPA CIDADE JARDIM; 165
PB;JOAO PESSOA;HOSPITAL PRONTOVIDA; 165
RJ;SAO GONCALO;PRONTO SOCORRO CENTRAL DR ARMANDO GOMES DE SA COUTO; 165
AL;MACEIO;HOSPITAL MEMORIAL ARTHUR RAMOS; 164
RN;NATAL;HOSPITAL DO CORACAO DE NATAL; 164
PB;PATOS;COMPLEXO HOSPITALAR DEP JANDUHY CARNEIRO; 163
PE;RECIFE;HOSPITAL UNIMED RECIFE III; 163
PR;PARANAGUA;HOSPITAL REGIONAL DO LITORAL; 163
RJ;RIO DE JANEIRO;SAMARITANO BARRA; 163
RS;LAJEADO;HOSPITAL BRUNO BORN; 163
SP;SAO PAULO;HOSP DOM ANTONIO DE ALVARENGA; 163
SP;VALINHOS;HOSPITAL E MATERNIDADE GALILEO; 163
AM;HUMAITA;HOSPITAL DR LUIZA DA CONCEICAO FERNANDES; 162
BA;VITORIA DA CONQUISTA;HCC HOSPITAL DE CLINICA DE CONQUISTA; 162
PB;JOAO PESSOA;HOSPITAL MUNICIPAL SANTA ISABEL; 162
PI;TERESINA;HOSPITAL DE CAMPANHA ESTADUAL VERDAO; 162
RJ;RIO DE JANEIRO;HOSPITAL CENTRAL DA AERONAUTICA HCA; 162
RJ;SAO GONCALO;SES RJ HOSPITAL ESTADUAL ALBERTO TORRES GERAL SAO GONCALO; 162
SP;BAURU;PRONTO SOCORRO CENTRAL DE BAURU; 162
SP;OSASCO;PS JOSE IBRAHIN; 162
PA;BELEM;HOSPITAL HSM; 161
SP;SOROCABA;HOSPITAL SAMARITANO DE SOROCABA; 161
BA;FEIRA DE SANTANA;HOSPITAL GERAL CLERISTON ANDRADE; 160
CE;FORTALEZA;CASA DE SAUDE E MATERNIDADE SAO RAIMUNDO; 160
PB;JOAO PESSOA;HOSPITAL UNIVERSITARIO LAURO WANDERLEY; 160
PE;RECIFE;HOSPITAL MEMORIAL SAO JOSE; 160
PE;RECIFE;PROCAPE; 160
PI;TERESINA;UNIDADE DE SAUDE PRIMAVERA; 160
RJ;RIO DE JANEIRO;HOSPITAL SAO VICENTE DE PAULO; 160
MG;CONTAGEM;UNIDADE PRONTO ATENDIMENTO CONTAGEM; 159
PE;VITORIA DE SANTO ANTAO;HOSPITAL JOAO MURILO E POLICLINICA DE VITORIA; 159
PR;CASCAVEL;UPA VENEZA; 159
DF;BRASILIA;HOSPITAL DAHER LAGO SUL SA; 158
PA;ITAITUBA;UNIDADE DE PRONTO ATENDIMENTO UPA; 158
PB;JOAO PESSOA;MATERNIDADE FREI DAMIAO; 158
PE;RECIFE;PA DERBY; 158
RJ;RIO DE JANEIRO;SES RJ UPA 24H COPACABANA; 158
MG;BELO HORIZONTE;HOSPITAL SEMPER; 157
PA;PARAGOMINAS;HOSPITAL REGIONAL PUBLICO DO LESTE DO PARA; 157
SP;CATANDUVA;UNIMED HOSPITAL SAO DOMINGOS; 157
SP;PRAIA GRANDE;COMPLEXO HOSPITALAR IRMA DULCE O S S; 157
MA;IMPERATRIZ;UPA IMPERATRIZ; 156
RS;RIO GRANDE;SANTA CASA DO RIO GRANDE; 156
SP;SAO PAULO;HOSPITAL E PRONTO SOCORRO PORTINARI LTDA; 156
TO;ARAGUAINA;HOSPITAL MUNICIPAL DE ARAGUAINA; 156
PA;TAILANDIA;HOSPITAL GERAL DE TAILANDIA; 155
RJ;RIO DE JANEIRO;HOSPITAL RIOS DOR; 155
SP;SAO BERNARDO DO CAMPO;HOSPITAL E PRONTO ATENDIMENTO SANCTA MAGGIORE; 155
AL;CAMPO ALEGRE;UNIDADE MISTA SENADOR ARNON DE MELO; 154
MT;CUIABA;HOSPITAL UNIVERSITARIO JULIO MULLER; 154
PA;TUCURUI;UPA 24HS TUCURUI EROSTACIO CORREA FILOCREAO IOIO; 154
PE;RECIFE;UPA CAXANGA; 154
SE;LAGARTO;HOSPITAL UNIV MONSENHOR JOAO BATISTA DE CARVALHO DALTRO; 154
SP;RIBEIRAO PRETO;HOSPITAL SANTA LYDIA RIBEIRAO PRETO; 154
SP;SAO CAETANO DO SUL;COMPLEXO HOSPITALAR MUNICIPAL; 154
MA;SAO LUIS;HOSPITAL DE CUIDADOS INTENSIVOS HCI; 153
RJ;RIO DE JANEIRO;HOSPITAL PANAMERICANO; 153
RJ;RIO DE JANEIRO;SMS UPA 24H ROCHA MIRANDA AP 33; 153
SP;DIADEMA;HOSPITAL ESTADUAL DE DIADEMA HOSPITAL SERRARIA; 153
SP;LEME;SANTA CASA DE LEME; 153
SP;SAO BERNARDO DO CAMPO;HOSPITAL DE CLINICAS MUNICIPAL; 153
AC;RIO BRANCO;FUNDHACRE; 152
AL;MACEIO;HOSPITAL UNIVERSITARIO PROF ALBERTO ANTUNES; 152
PR;LONDRINA;HOSPITAL EVANGELICO DE LONDRINA; 152
RJ;CABO FRIO;HOSPITAL SAO JOSE OPERARIO; 152
RJ;RIO DE JANEIRO;HOSPITAL PASTEUR; 152
SC;BLUMENAU;HOSPITAL SANTA ISABEL; 152
SC;JOINVILLE;HOSPITAL BETHESDA; 152
SP;SANTA BARBARA D'OESTE;PRONTO SOCORRO DR EDISON DANIEL DOS SANTOS MANO; 152
SP;SANTO ANDRE;CENTRO HOSPITALAR DE SANTO ANDRE DR NEWTON DA COSTA BRANDAO; 152
BA;ITABUNA;HOSPITAL CALIXTO MIDLEJ FILHO; 150
CE;CAUCAIA;HOSP MUN ABELARDO GADELHA DA ROCHA; 150
RJ;RIO DE JANEIRO;HOSPITAL SAMARITANO; 150
SE;ARACAJU;HOSPITAL UNIVERSITARIO DE SERGIPE HUSE; 150
SP;SAO PAULO;HOSPITAL ADVENTISTA DE SAO PAULO; 150
AP;MACAPA;HOSPITAL DE CAMPANHA CENTRO COVID II; 149
CE;FORTALEZA;UNIDADE PRONTO ATENDIMENTO PRAIA DO FUTURO; 149
MT;ALTO ARAGUAIA;HOSPITAL MUNICIPAL DE ALTO ARAGUAIA; 149
PB;JOAO PESSOA;SECRETARIA MUNICIPAL DE SAUDE DE JOAO PESSOA; 149
RJ;RIO DE JANEIRO;SES RJ UPA 24H CAMPO GRANDE; 149
SP;CAMPINAS;UNIDADE DE PRONTO ATENDIMENTO SAO JOSE; 149
AM;COARI;HOSPITAL REGIONAL DE COARI PREF DR ODAIR CARLOS GERALDO; 148
MS;DOURADOS;HOSPITAL SANTA RITA LTDA; 148
RJ;DUQUE DE CAXIAS;HOSPITAL CAXIAS DOR; 148
RS;SAPUCAIA DO SUL;FUNDACAO HOSPITALAR DE SAPUCAIA DO SUL; 148
SE;ESTANCIA;HOSPITAL REGIONAL DE ESTANCIA JESSE FONTES; 148
AL;MACEIO;SANTA CASA DE MISERICORDIA DE MACEIO; 147
BA;SALVADOR;HOSPITAL DE CAMPANHA COVID 19 WETN WILD; 147
DF;BRASILIA;UPA RECANTO DAS EMAS; 147
ES;SERRA;HOSPITAL METROPOLITANO S A; 147
ES;VITORIA;HOSPITAL SANTA RITA DE CASSIA VITORIA; 147
MT;JURUENA;SECRETARIA MUNICIPAL DE SAUDE E SANEAMENTO DE JURUENA; 147
PA;CAPITAO POCO;HOSPITAL MATERNIDADE DO POVO CAPITAO POCO; 147
SP;GUARULHOS;HOSPITAL NEUROCENTER; 147
SP;GUARULHOS;PRONTO ATENDIMENTO MARIA DIRCE; 147
BA;VITORIA DA CONQUISTA;HOSPITAL SAO VICENTE DE PAULO; 146
PA;CASTANHAL;UPA PORTE III CASTANHAL GOVERNADOR ALMIR GABRIEL; 146
PA;SANTAREM;HOSPITAL REGIONAL DO BAIXO AMAZONAS DO PA DR WALDEMAR PENNA; 146
PR;CURITIBA;HOSPITAL ERASTO GAERTNER; 145
RJ;NITEROI;HOSPITAL UNIVERSITARIO ANTONIO PEDRO; 145
RS;NOVO HAMBURGO;HOSPITAL REGINA NOVO HAMBURGO; 145
SP;SAO BERNARDO DO CAMPO;HOSPITAL NEXT SAO BERNARDO; 145
MA;SAO LUIS;UDI HOSPITAL; 144
MT;JUINA;SECRETARIA MUNICIPAL DE SAUDE DE JUINA; 144
PR;ARAPONGAS;HONPAR HOSPITAL NORTE PARANAENSE; 144
RJ;RIO DE JANEIRO;SMS UPA 24H MANGUINHOS AP 31; 144
DF;BRASILIA;DF STAR; 143
DF;BRASILIA;HRS; 143
MG;UBERLANDIA;UAI PLANALTO DR TUBAL VILELA DA SILVA; 143
SC;LAGES;HOSPITAL E MATERNIDADE TEREZA RAMOS; 143
AM;MAUES;HOSPITAL DE MAUES DONA MUNDIQUINHA; 142
RJ;GUAPIMIRIM;HOSPITAL MUNICIPAL JOSE RABELLO DE MELLO; 142
RN;NATAL;HOSPITAL RIO GRANDE; 142
RN;NATAL;UPA 24H ESPERANCA; 142
SE;ARACAJU;HOSPITAL SAO JOSE; 142
PE;RECIFE;HOSPITAL PELOPIDAS SILVEIRA; 141
PA;PARAUAPEBAS;HOSPITAL YUTAKA TAKEDA; 140
RN;NATAL;HOSPITAL DR JOSE PEDRO BEZERRA; 140
SP;SANTOS;HOSPITAL SAO LUCAS DE SANTOS; 140
SP;SAO PAULO;UPA JACANA; 140
SC;BLUMENAU;HOSPITAL SANTO ANTONIO; 139
SP;SANTO ANDRE;HOSPITAL ESTADUAL MARIO COVAS DE SANTO ANDRE; 139
GO;ANAPOLIS;UPA III DR ALAIR MAFRA ANAPOLIS GOIAS; 138
PA;AURORA DO PARA;HOSPITAL MUNICIPAL DE AURORA DO PARA; 138
PA;BRAGANCA;HOSPITAL SANTO ANTONIO MARIA ZACCARIA; 138
PI;TERESINA;UNIDADE MISTA DE SAUDE MARIANO GAYOSO CASTELO BRANCO; 138
RJ;NITEROI;HOSPITAL DE CLINICAS ALAMEDA; 138
RN;MOSSORO;HOSPITAL REGIONAL DR TARCISIO DE VASCONCELOS MAIA; 138
SP;SANTOS;SECAO DE VIGILANCIA EPIDEMIOLOGICA SEVIEP; 138
SP;SAO BERNARDO DO CAMPO;HOSPITAL ASSUNCAO; 138
DF;BRASILIA;UPA TIPO III SAMAMBAIA; 137
MG;ALEM PARAIBA;HOSPITAL SAO SALVADOR; 137
PR;CURITIBA;CLINICA SUGISAWA; 137
PR;CURITIBA;HOSPITAL PILAR; 137
RJ;RIO DE JANEIRO;HOSPITAL PRO CARDIACO; 137
RJ;RIO DE JANEIRO;SMS UPA 24 H ENGENHO DE DENTRO AP 32; 137
RJ;TERESOPOLIS;HOSPITAL SAO JOSE; 137
SC;FLORIANOPOLIS;HOSPITAL GOVERNADOR CELSO RAMOS; 137
SP;SAO CAETANO DO SUL;HOSPITAL MUNICIPAL DE EMERGENCIAS ALBERT SABIN; 137
PE;RECIFE;HOSPITAL MARIA LUCINDA; 136
RJ;RIO DE JANEIRO;MS HOSPITAL FEDERAL DA LAGOA; 136
RJ;SAO GONCALO;HOSPITAL SAO GONCALO LTDA; 136
SP;SANTOS;HOSPITAL GUILHERME ALVARO SANTOS; 136
SP;SAO JOSE DOS CAMPOS;DR RUBENS SAVASTANO HOSPITAL REGIONAL DE SAO JOSE DOS CAMPOS; 136
CE;FORTALEZA;HOSPITAL DISTRITAL NOSSA SENHORA DA CONCEICAO; 135
PE;OLINDA;MATERNIDADE BRITES DE ALBUQUERQUE; 135
PR;MARINGA;HOSPITAL E MATERNIDADE MARIA AUXILIADORA; 135
PR;MARINGA;HOSPITAL E MATERNIDADE SANTA RITA; 135
RJ;RIO DE JANEIRO;CASA DE SAUDE PINHEIRO MACHADO; 135
SP;SAO BERNARDO DO CAMPO;UPA RUDGE RAMOS; 135
CE;ITAPIPOCA;HOSPITAL MATERNIDADE SAO VICENTE DE PAULO; 134
DF;BRASILIA;HOSPITAL ALVORADA DE BRASILIA; 134
DF;BRASILIA;UNIDADE DE PRONTO ATENDIMENTO CEILANDIA; 134
SP;SAO PAULO;HOSP MAT SAO CRISTOVAO; 134
SP;SAO PAULO;HOSPITAL DO RIM E HIPERTENSAO; 134
MG;BELO HORIZONTE;HOSPITAL DA POLICIA MILITAR; 133
MG;BELO HORIZONTE;HOSPITAL MADRE TERESA; 133
PA;SAO MIGUEL DO GUAMA;HOSPITAL MUNICIPAL DE SAO MIGUEL DO GUAMA; 133
RJ;RIO DE JANEIRO;SMS HOSPITAL MUNICIPAL MIGUEL COUTO AP 21; 133
SP;BAURU;HOSPITAL UNIMED DE BAURU; 133
SP;SAO BERNARDO DO CAMPO;UPA DEMARCHI BATISTINI; 133
AP;OIAPOQUE;SES AP HOSPITAL ESTADUAL DE OIAPOQUE; 132
MT;PORTO ESPERIDIAO;SECRETARIA MUNICIPAL DE SAUDE DE PORTO ESPERIDIAO; 132
RJ;RIO DE JANEIRO;SMS COORDENADORIA GERAL DE ATENCAO PRIMARIA AP 31; 132
